Title, Birthyear, occupationgroup
A._W._Mailvaganam,1906,other
A._W._Pryor,1928,academic
A._W._Ristine,1878,other
A._W._Shepard,1865,other
A._Wallace_Tashima,1934,office holder
A._William_Sweeney,1920,office holder
AAMS_Arefin_Siddique,1953,other
AD_Singh,1981,other
Amina_Mohamed,,office holder
Amina_Salum_Ali,1956,office holder
Aminata_Nar_Diop,1983,athlete
Aminata_Touré,1962,office holder
Aminatta_Forna,1964,author
Amine_Gemayel,,office holder
Aminu_Bashir_Wali,,office holder
Aminu_Timberlake,,athlete
Aminul_Hoque_(writer),,author
Amir_Abbas,,office holder
Amir_Abo-Shaeer,1972,other
Amir_Aczel,,academic
Amir_Alexander,,academic
Amir_Amini,1984,athlete
Amir_Attaran,,other
Amir_Eshel,1959,office holder
Amir_Faghri,1951,academic
Amir_Farshad_Ebrahimi,1975,other
Amir_Garrett,1992,athlete
Amir_H._Jamal,,office holder
Amir_Khadir,,office holder
Amir_Mohebbian,1962,other
Amir_Muqam,1963,office holder
Amir_Omar,,office holder
Amir_Syamsuddin,1941,office holder
Amir_Ullah_Khan,,other
Amira_Hass,1956,other
Amiran_Revishvili,1956,academic
Amirkhan_Mori,1961,other
Amish_Tripathi,1974,author
Amishi_Jha,1970,academic
Amit_Bagaria,0015,other
Amit_Bhatia,1979,other
Amit_Bohensky,,other
Amit_Chakma,1959,other
Amit_Chakrabarti,1959,academic
Amit_Goyal,,other
Amit_Mitra,,office holder
Amit_Priyavadan_Mehta,1971,office holder
Amit_Ray,1960,other
Amit_Sahai,,academic
Amit_Shah,,office holder
Amit_Sheth,,other
Amit_Shumovich,1992,athlete
Amit_Singhal,,academic
Amit_Sood,,other
Amit_Subhashrao_Zanak,,other
Amitabh_Bachchan,1942,other
Amitabh_Rajan,1955,other
Amitabha_Chattopadhyay,1956,academic
Amitav_Ghosh,,author
Amitava_Bose,,other
Amitava_Datta,,academic
Amitava_Kumar,1963,other
Amitava_Raychaudhuri,1952,academic
Amitava_Roy,1953,other
Amity_Gaige,1972,author
Amity_Shlaes,1960,author
Amiya_Prosad_Sen,1952,other
Amjad_Bashir,1952,office holder
"Amjad_Hossain,_MNA",,office holder
Amjad_Islam_Amjad,1944,other
Amjad_Mohammed_Khan,1970,other
Amjad_Nasser,1955,author
Amjed_Bedewi,1954,office holder
Amlan_Das,,other
Ammar_Abdulhamid,1966,other
Ammar_Abo_Bakr,,office holder
Ammar_Aziz,,other
Ammar_Mohammed,,other
Ammar_Nakshawani,1981,other
Ammar_al-Qurabi,1970,other
Amna_Buttar,1962,office holder
Amnon_Albeck,,academic
Amnon_Lipkin-Shahak,,office holder
Amnon_Shashua,,academic
Amod_Prasad_Upadhyay,,office holder
Amos_Allen_(gridiron_football),1983,athlete
Amos_Alonzo_Stagg,,other
"Amos_Alonzo_Stagg,_Jr.",1899,other
Amos_Bairoch,,academic
Amos_Binney,1803,academic
Amos_Dean,1803,other
Amos_Eaton,,academic
Amos_Foster,1880,other
Amos_Fowler,1956,athlete
"Amos_Hostetter,_Jr.",1937,other
Amos_Kendall,,office holder
Amos_L._Mazzant_III,1965,office holder
Amos_Magee,1971,other
Amos_N._Guiora,,other
Amos_N._Wilson,1941,academic
Amos_Nourse,,other
Amos_Noyes_Currier,1832,other
Amos_Oz,,author
Amos_Pinchot,1873,other
Amos_R._Webber,1852,office holder
Amos_Smith,1944,academic
Amos_T._Akerman,,office holder
Amos_Tuck,,other
Amos_Tversky,,academic
Amos_W._Marston,,other
Amos_Wako,,office holder
Amos_Yong,1965,other
Amos_Yudan,1936,other
Amos_de-Shalit,1926,academic
Amotz_Zahavi,,academic
Ampareen_Lyngdoh,,office holder
Amparo_Noguera,1965,other
Ampasayya_Naveen,1941,author
Amr_Al-Dabbagh,,other
Amr_Aly,1962,athlete
Amr_Darrag,1958,office holder
Amr_Moussa,,office holder
Amr_Saad,1971,other
Amr_Sobhy,1988,author
Amrin_Amin,,other
Amrit_Abhijat,1968,other
Amrit_Lugun,1974,other
Amrita_Chaudhry,1972,other
Amrita_Cheema,,other
Amrullah_Saleh,1972,office holder
Amruta_Patki,,other
Amy_Adams_(politician),1971,office holder
Amy_Andersen,,other
Amy_Anderson_(golfer),1992,athlete
Amy_Aquino,1957,other
Amy_B._Harris,,other
Amy_Balkin,,other
Amy_Berman_Jackson,,office holder
Amy_Biehl,1967,other
Amy_Carter,1967,other
Amy_Carter_(Georgia_politician),,office holder
Amy_Chua,1962,other
Amy_Crain,,other
Amy_Cuddy,1972,academic
Amy_Dahl,,other
Amy_Duncan_(singer),,other
Amy_Finkelstein,1973,other
Amy_Foxx-Orenstein,,other
Amy_Franceschini,1970,other
Amy_Freeze,,other
Amy_Fruhwirth,1968,athlete
Amy_Garnett,1976,athlete
Amy_Gutierrez,,other
Amy_Gutmann,,office holder
Amy_Halberstadt,1954,academic
Amy_Handlin,,office holder
Amy_Hennig,,author
Amy_Holmes,1973,other
Amy_Hood,"['1971', '0008']",other
Amy_Hung,1980,athlete
Amy_J._St._Eve,1965,other
Amy_Jacot_Guillarmod,,academic
Amy_Jenkins_(artist),1966,other
