Title, Birthyear, occupationgroup
Ante_Trumbić,,other
Antero_de_Quental,,author
Anthea_McIntyre,1954,other
Anthonie_Gronum,1985,athlete
Anthonius_Triest,,other
Anthony_A._Alaimo,1920,other
Anthony_A._Fleger,,office holder
Anthony_A._Hyman,1962,academic
Anthony_A._Williams,,office holder
Anthony_Adducci,1937,other
Anthony_Albanese,,office holder
Anthony_Alix,1986,athlete
Anthony_Allison,1987,athlete
Anthony_Aniagolu,,other
"Anthony_Ashley_Cooper,_1st_Earl_of_Shaftesbury",,office holder
Anthony_Augustine,1980,athlete
Anthony_B._Pinn,,academic
Anthony_Babington_(politician),1877,office holder
Anthony_Bailey_(author),,author
Anthony_Bailey_(campaigner),1970,other
Anthony_Bamford,1945,other
Anthony_Bannon,1943,academic
Anthony_Baratta_(designer),1959,other
Anthony_Barrowclough,1924,office holder
Anthony_Bate,1927,other
Anthony_Bebbington,1962,academic
Anthony_Bell,1964,athlete
Anthony_Benn_(Recorder_of_London),,other
Anthony_Blackwall,1672,other
Anthony_Blue,1964,athlete
Anthony_Boric,,athlete
Anthony_Bowie,,athlete
Anthony_Bozzella,,other
Anthony_Brindisi,,office holder
Anthony_Burgess,,author
Anthony_C._Beilenson,,other
Anthony_C._Ferrante,,other
Anthony_Campanile,1982,other
Anthony_Cannella,1969,office holder
Anthony_Carbines,1973,office holder
Anthony_Carmona,1953,office holder
Anthony_Caro,,other
Anthony_Carter,,athlete
Anthony_Cartwright_(writer),1973,author
Anthony_Carwardine,1938,other
Anthony_Casalena,1982,other
Anthony_Catanese,,office holder
Anthony_Cerami,1940,other
Anthony_Cheetham,,academic
Anthony_Chenevix-Trench,1919,other
Anthony_Chez,1872,other
Anthony_Chiasson,1973,other
Anthony_Chisholm_(politician),,office holder
Anthony_Clark_Arend,1958,other
"Anthony_Clarke,_Baron_Clarke_of_Stone-cum-Ebony",,other
Anthony_Clifford_Allison,1925,academic
Anthony_Como,1974,other
Anthony_Cooke_(Royal_Navy_officer),,other
Anthony_Cordesman,1939,other
Anthony_Cortese,1947,academic
Anthony_Cottrell_(rugby_union),,athlete
Anthony_Cronin,,author
Anthony_Crosland,,office holder
Anthony_D._Galluccio,1969,other
Anthony_D._Smith,1939,other
Anthony_David_(neuropsychiatrist),,academic
"Anthony_Davis_(running_back,_born_1982)",1982,athlete
Anthony_DeLuca_(Illinois_politician),1970,office holder
Anthony_DeVitis,1969,office holder
Anthony_Del_Col,,other
Anthony_DiMarzo,,athlete
Anthony_DiPaolo,1958,other
Anthony_Di_Biase,1988,athlete
Anthony_Diallo,1956,office holder
Anthony_Dickenson,,academic
Anthony_Diekema,1933,other
Anthony_Doerr,,author
Anthony_Dominic_Pellicer,1824,other
Anthony_Downs,,other
Anthony_Dryden_Marshall,1924,other
Anthony_Eisley,1925,other
Anthony_Evans_(basketball),1970,other
Anthony_F._C._Wallace,1923,academic
Anthony_F._Hill,,academic
Anthony_Fainga'a,1987,athlete
Anthony_Fernandez,1982,athlete
Anthony_Finkelstein,1959,academic
Anthony_Fiorillo,,academic
Anthony_Fisher,,other
Anthony_Foley,,athlete
Anthony_Foriest,,office holder
Anthony_Foxx,1971,office holder
Anthony_Frederick,,athlete
Anthony_French,1920,academic
Anthony_G._Amsterdam,1935,academic
Anthony_G._Brown,,office holder
Anthony_Garner,1927,other
Anthony_Gate,,other
Anthony_Gates,,office holder
Anthony_Giddens,,academic
Anthony_Giuliano,1898,office holder
Anthony_Goldbloom,1983,other
Anthony_Goldwire,,athlete
"Anthony_Grabiner,_Baron_Grabiner",1945,office holder
Anthony_Grant,,athlete
Anthony_Grant_(Jamaican_footballer),1989,athlete
Anthony_Gregorc,,academic
"Anthony_Guarisco,_Jr.",1938,office holder
"Anthony_Gueterbock,_18th_Baron_Berkeley",,office holder
Anthony_Gustav_de_Rothschild,1887,other
Anthony_H._Williams,1957,office holder
Anthony_Habgood,1946,other
Anthony_Hallam,1933,academic
Anthony_Hamilton_(soccer),1985,athlete
Anthony_Henniker-Gotley,1887,athlete
Anthony_Hensley,1953,office holder
Anthony_Heward,1918,other
Anthony_Higgins_(politician),,office holder
Anthony_Horowitz,,author
Anthony_Housefather,,other
Anthony_Howell_(admiral),1947,other
"Anthony_Hughes,_Lord_Hughes_of_Ombersley",,office holder
Anthony_Hunt,1932,other
Anthony_Ichiro_Sanda,1944,academic
Anthony_J._Battaglia,1949,office holder
Anthony_J._Celebrezze,,other
Anthony_J._Celebrezze_Jr.,,office holder
Anthony_J._Griffin,,other
Anthony_James_Barr,1940,other
Anthony_James_Hall,1951,other
Anthony_James_Leggett,,academic
Anthony_James_Merrill_Spencer,,academic
Anthony_Jenkins,1967,other
Anthony_Jennings,1994,athlete
Anthony_Johnson_(basketball),,athlete
Anthony_Johnstone-Burt,1958,other
Anthony_Jones_(American_football),1960,other
Anthony_Joseph_Scirica,,office holder
Anthony_Julian,1902,office holder
Anthony_Kang,1972,athlete
Anthony_Kelly_(lacrosse),1980,athlete
Anthony_Kennedy,1936,other
Anthony_Kim,1985,athlete
Anthony_L._Gardner,,other
Anthony_L._Komaroff,1941,academic
Anthony_L._Turkevich,1916,academic
Anthony_Laciura,1951,other
Anthony_Lake,,office holder
Anthony_Latina,1973,other
Anthony_Lawlor,,office holder
Anthony_Lazzaro_(university_administrator),1921,other
Anthony_Lee-Ingram,,athlete
Anthony_Leeds,1925,other
Anthony_Leiserowitz,,academic
Anthony_Lemke,,other
Anthony_Leocadia_Fletcher,1909,other
Anthony_Lewis,1927,other
"Anthony_Lloyd,_Baron_Lloyd_of_Berwick",,other
Anthony_Low,1927,other
Anthony_Lowe,1962,academic
Anthony_Lupo,,academic
Anthony_Lyn,1965,other
Anthony_Lynham,,other
Anthony_M._Johnson,1954,academic
Anthony_M._Solomon,,office holder
Anthony_Mackie,1978,other
Anthony_Maher_(soccer),1979,athlete
Anthony_Marx,1959,other
Anthony_McCarten,1961,author
Anthony_McCowan,1928,other
Anthony_Merchant,1944,office holder
"Anthony_Myles_(basketball,_born_1982)",,athlete
Anthony_Nelson,,other
Anthony_Noto,1968,other
Anthony_O'Garro,1987,athlete
Anthony_O'Regan,,other
Anthony_Onah,1983,other
Anthony_P._Capozzi,1945,other
Anthony_Pagden,1945,academic
Anthony_Palumbo,,office holder
Anthony_Panizzi,,academic
Anthony_Pawson,,academic
Anthony_Perenise,1982,athlete
Anthony_Peters,1983,athlete
Anthony_Petruccelli,1972,office holder
Anthony_Pigott,1944,other
Anthony_Poindexter,1976,other
Anthony_Portantino,,office holder
Anthony_Pratkanis,1957,academic
Anthony_Pratt_(businessman),1960,other
Anthony_Priddis,1948,other
Anthony_Principi,,office holder
Anthony_Pritzker,1961,other
Anthony_Purpura,1986,athlete
Anthony_R._Barringer,1925,academic
Anthony_R._Hunter,1943,academic
Anthony_R._Parnther,1943,other
Anthony_Reddick,1985,athlete
Anthony_Rushton,1971,other
Anthony_Russell,,other
Anthony_Russo_(whistleblower),1936,other
Anthony_S._Fauci,,academic
Anthony_Sagnella,1964,athlete
Anthony_Salveyn,,other
Anthony_Savage,1893,other
Anthony_Scaramucci,1964,other
Anthony_Seldon,1953,other
Anthony_Semerad,1991,athlete
Anthony_Shadid,1968,other
Anthony_Shaffer_(intelligence_officer),1962,other
Anthony_Shavies,1983,athlete
Anthony_Shorris,1957,office holder
Anthony_Shriver,,office holder
Anthony_Skingsley,1933,other
Anthony_Smart,,office holder
Anthony_Smith_(explorer),1926,other
Anthony_Steen,,other
Anthony_Stevens-Arroyo,1941,other
Anthony_T._Kane,,office holder
Anthony_Thirlwall,1941,other
Anthony_Traill_(linguist),,academic
Anthony_Trewavas,,academic
Anthony_Venables,1953,other
Anthony_Vázquez,1988,athlete
Anthony_W._Ishii,1946,office holder
Anthony_W._Miller,,office holder
Anthony_W._Norman,1938,academic
Anthony_Wager,1932,other
Anthony_Waichulis,1972,other
Anthony_Wall_(film-maker),,other
Anthony_Watson_(rugby_union),1994,athlete
Anthony_Watts_(biophysicist),1950,other
Anthony_Watts_(blogger),1958,other
Anthony_Watts_(geologist),1945,academic
Anthony_Weiner,,other
Anthony_Whitaker,,academic
Anthony_Wilkerson,1992,athlete
Anthony_William_Thomas,1949,academic
Anthony_Wood,1632,other
Anthony_Woods,1980,other
Anthony_Yeo,,other
Anthony_Yezer,,other
Anthony_Zee,,academic
Anthony_Zuzzio,1916,athlete
Antigirl,0008,other
Antigoni_Papadopoulou,,office holder
Antipope_Benedict_XIII,,other
Antje_Boetius,1967,academic
Antje_Jackelén,1955,other
Antjie_Krog,,author
Antoaneta_Vassileva,1960,other
Antoine_Augustin_Cournot,,academic
Antoine_Barnave,,office holder
Antoine_Brun,,office holder
Antoine_Caldwell,1986,athlete
Antoine_Ghanem,1943,other
Antoine_Gouan,1733,academic
Antoine_Joseph,1989,athlete
Antoine_Joseph_Léger,1880,other
Antoine_Karam_(politician),,office holder
Antoine_Lavoisier,,academic
Antoine_Petit,1722,academic
Antoine_Thompson,1970,other
Antoinette_Funk,1869,other
Antoinette_Pirie,1905,academic
Antoinette_Sandbach,,other
Antoinette_Sayeh,1958,other
Antoinette_Taus,1981,other
Anton_Amann,1956,other
Anton_Antonov-Ovseyenko,1920,author
Anton_Bertram,,office holder
Anton_Boisen,1876,other
Anton_Burg,,academic
Anton_Buteyko,,office holder
Anton_Chekhov,,author
Anton_Constandse,1899,other
Anton_Crihan,,other
Anton_Del_Castillo,1976,other
Anton_Dilger,,academic
Anton_Furst,1944,other
Anton_Hofreiter,1970,office holder
Anton_J._Rockne,1868,other
Anton_Kapustin,,academic
Anton_Koolhaas,,author
Anton_Kotzig,1919,academic
Anton_Leo_Hickmann,,academic
Anton_Levy,1974,other
Anton_Memminger,1846,office holder
Anton_Muscatelli,1962,office holder
Anton_Mussert,,other
Anton_Myrer,1922,author
Anton_Oliver,1975,athlete
Anton_Pelinka,1941,academic
Anton_Peterlin_(soccer),1987,athlete
Anton_Piëch,1894,other
Anton_Rintelen,1876,other
Anton_Robert_Krueger,1971,other
Anton_Rop,,office holder
Anton_Rupert,1916,other
Anton_Schlembach,1932,other
Anton_Schrötter_von_Kristelli,1802,academic
Anton_Siluanov,1963,office holder
Anton_Stres,1942,other
Anton_Vilsmeier,1894,academic
Anton_del_Rosario,1981,athlete
Anton_van_Zyl,,athlete
Anton_von_Störck,1731,academic
Anton_Štefánek,,office holder
Antonella_Mularoni,1961,office holder
Antoni_Bolesław_Dobrowolski,1872,academic
Antoni_Comín,,office holder
Antoni_Macierewicz,,office holder
Antoni_Martí,,office holder
Antoni_Zygmund,,academic
Antoni_Łomnicki,,academic
Antonia_Fahberg,1928,other
Antonia_Hodgson,1971,other
Antonia_Maury,,academic
Antonia_Novello,,office holder
Antonie_Pannekoek,,academic
Antonietta_Collins,1985,other
Antonija_Mitrović,,academic
Antonin_Scalia,,other
Antonina_Pirozhkova,1909,other
Antonina_Stoyanova,,office holder
Antonio_Abetti,,academic
Antonio_Alatorre,,author
Antonio_Ambrosetti,1944,academic
Antonio_Bajamonti,1822,other
Antonio_Bass,1987,athlete
Antonio_Baños_Boncompain,,office holder
Antonio_Bonfatti,1950,office holder
Antonio_Broccoli_Porto,,other
Antonio_Brú,1962,academic
Antonio_Bua,1990,athlete
"Antonio_Burks_(basketball,_born_1980)",,athlete
"Antonio_Busalacchi,_Jr.",,other
Antonio_Cabangon_Chua,1934,other
Antonio_Cabral,1955,office holder
Antonio_Cafiero,1922,other
Antonio_Carlo_Napoleone_Gallenga,,author
Antonio_Carpio,1949,office holder
Antonio_Carrillo_Flores,,office holder
Antonio_Caso_Andrade,1883,academic
Antonio_Castro_Leal,1896,office holder
Antonio_Cerilles,1948,office holder
Antonio_Cornejo_Polar,1936,office holder
Antonio_Damasio,,academic
Antonio_De_Martino,1815,other
Antonio_Fais,1841,academic
Antonio_Fortich,,other
Antonio_Garcia-Bellido,1936,other
Antonio_Genato,1929,athlete
Antonio_Giarrusso,1962,office holder
Antonio_Giordano,,academic
Antonio_Granger,1976,athlete
Antonio_Harvey,,athlete
Antonio_Ingroia,1959,office holder
"Antonio_Lagdameo,_Jr.",1968,office holder
Antonio_Lang,,athlete
Antonio_Langham,1972,athlete
Antonio_Lanzavecchia,1951,academic
Antonio_Latimer,1978,athlete
Antonio_Lazcano,,academic
Antonio_Luque_López,1941,academic
Antonio_López-Istúriz_White,,other
Antonio_M._Pérez,1947,other
Antonio_Maccanico,1924,office holder
Antonio_Macia,,other
Antonio_Maria_Bordoni,1789,academic
Antonio_Maria_Costa,,office holder
Antonio_Maria_Lorgna,,academic
Antonio_Martínez_(footballer),,athlete
Antonio_Maíllo,,office holder
Antonio_Musa_Brassavola,,academic
Antonio_Navarro_Wolff,1948,office holder
Antonio_Ortiz_Mena,1907,office holder
Antonio_Peña_Díaz,1936,academic
Antonio_Pérez_Yuste,1968,academic
Antonio_Remiro_Brotóns,1945,academic
Antonio_Reynoso,,office holder
Alayna_Westcom,,other
Alba_Lucía_Potes_Cortés,1954,other
Alban_Bagbin,,other
Alban_Maginness,,office holder
Alban_McCoy,,other
Alben_W._Barkley,,office holder
Albena_Branzova,1971,athlete
Alberico_Gentili,,office holder
Albert-László_Barabási,1967,other
Albert_A._Bühlmann,1923,academic
Albert_A._Michelson,,academic
Albert_A._Murphree,1870,other
"Albert_A._Stirpe,_Jr.",1953,office holder
Albert_Abongo,,other
Albert_Adu_Boahen,1932,academic
Albert_Alberts,,author
Albert_Allen_Bartlett,,academic
Albert_Anderson_(rugby),1961,athlete
Albert_B._Cowden,1879,other
Albert_B._Reagan,1871,author
Albert_Baez,,academic
Albert_Bandura,,academic
Albert_Barron,1888,other
Albert_Beaumont_Wood,1890,academic
Albert_Beckford_Jones,1958,other
Albert_Bel_Fay,1913,office holder
Albert_Belan,1930,office holder
Albert_Berg,1864,other
Albert_Bergesen,,academic
Albert_Bimper,1983,athlete
Albert_Black,1959,other
Albert_Blaustein,1921,other
Albert_Bond_Lambert,1875,other
Albert_Booth,,office holder
Albert_Boscov,1929,other
Albert_Bregman,1936,academic
Albert_Brudzewski,,academic
"Albert_Bryant,_Jr.",,other
Albert_Buell_Lewis,1867,other
Albert_C._Barnes,1872,other
Albert_C._Knudson,1873,other
Albert_C._Pollard,1967,office holder
Albert_C._Thompson,1842,other
Albert_Chan,1955,office holder
Albert_Charles_Saunders,,office holder
Albert_Chua,,office holder
Albert_Claude,,academic
Albert_Cole_Hopkins,1837,office holder
Albert_Coons,,academic
Albert_D._Bosson,1853,office holder
"Albert_David_Baumhart,_Jr.",1908,office holder
Albert_Dekker,,office holder
Albert_Diaz_(judge),1960,office holder
Albert_Durrant_Watson,1859,other
Albert_E._Austin,1877,office holder
Albert_E._Herrnstein,1882,other
"Albert_E._Jenner,_Jr.",1907,other
Albert_E._Pillsbury,1849,other
Albert_E._Rice,,office holder
Albert_Edward_(soccer),1991,athlete
Albert_Edward_Litherland,1928,other
Albert_Edward_McPhillips,1861,other
Albert_Egges_van_Giffen,,academic
Albert_Ehrhardt,,office holder
Albert_Einstein,,academic
Albert_Elliott,1869,athlete
Albert_Elmore,1904,other
Albert_Erives,1972,academic
Albert_Ernest_Kitson,1868,academic
Albert_Ernest_Radford,,academic
"Albert_Estopinal,_Jr.",1869,office holder
Albert_Exendine,1884,other
Albert_F._Polk,1869,office holder
Albert_Francis_Blakeslee,1874,academic
Albert_Francis_Zahm,1862,academic
Albert_Freeman_Africanus_King,1841,academic
Albert_G._Brown,,office holder
Albert_G._Lauber,1950,office holder
Albert_Galiton_Watkins,,office holder
Albert_Gjedde,,academic
Albert_Glinsky,1952,other
Albert_Goldstein,1943,other
Albert_Gould,1847,office holder
Albert_Graff,,other
Albert_Grajales,1962,other
"Albert_Grey,_4th_Earl_Grey",,office holder
Albert_Grossman,1926,other
Albert_H._Bosch,1908,other
Albert_H._Roberts,,office holder
Albert_Hale,,office holder
Albert_Hansen,1871,other
Albert_Hazen_Wright,1879,academic
Albert_Herren,1952,office holder
Albert_Ho,,other
Albert_Hofmann,1906,academic
Albert_Hofstede,1940,office holder
Albert_Hourani,,author
Albert_Houthuesen,1903,other
Albert_Howard,,academic
Albert_Hudson,,office holder
Albert_Huffstickler,1927,author
Albert_I._Prettyman,,other
Albert_Ingham,1900,academic
Albert_Isola,,office holder
Albert_J.R._Heck,1964,other
Albert_J._Beveridge,,other
Albert_J._Gebert,1906,other
Albert_J._Neri,1952,other
Albert_J._Pearson,1846,office holder
Albert_J._Ruffo,1908,other
Albert_J._Simone,,office holder
Albert_Jacquard,1925,academic
Albert_Jay_Nock,,author
Albert_Jenkin,1872,athlete
Albert_Jenks,1869,academic
Albert_Journeay,1890,athlete
Albert_Kapikian,,academic
Albert_Kawal,1912,other
Albert_Kewene,1939,academic
Albert_L._Holladay,1805,office holder
Albert_L._Rendlen,1922,other
"Albert_L._Smith,_Jr.",1931,other
Albert_Lai,,other
Albert_Lee_Giddens,"['1947', '0029']",other
Albert_Luce,1888,other
Albert_Luvian_Wade,1884,athlete
Albert_Macovski,1929,other
Albert_Marcet,1960,other
Albert_Marshall_(American_football),,other
Albert_Martin_(soldier),1808,other
Albert_Masland,1956,office holder
Albert_Mayer_(planner),1897,other
Albert_McLeland,,other
Albert_Micajah_Shipp,1819,other
Albert_Moore_Barrett,,academic
Albert_Napier,1881,other
Albert_Neuberger,,academic
Albert_Niemann_(chemist),1834,academic
Albert_Nijenhuis,1926,academic
Albert_O._Hirschman,,other
Albert_Ogilvie,,office holder
Albert_Owen,,other
Albert_P._Crary,,academic
Albert_Palmer_(American_politician),1831,office holder
"Albert_Parker,_3rd_Earl_of_Morley",1843,office holder
Albert_Pattengill,1842,other
Albert_Paul_Weiss,1879,other
Albert_Payson_Terhune,1872,other
Albert_Pechan,1902,office holder
Albert_Pintat,,office holder
Albert_Pitt_(footballer),1880,athlete
Albert_Poggio,1945,other
Albert_Potter_Wills,1873,academic
Albert_R._Jonsen,1931,other
Albert_R._Meyer,1941,academic
Albert_R._Taylor,1846,office holder
Albert_Rees,,other
Albert_Richards_(artist),1919,other
Albert_Robinson_(Kentucky_politician),1938,office holder
Albert_Ruskin_Cook,,academic
Albert_S._Berry,1836,office holder
Albert_S._Humphrey,1926,academic
Albert_S._Willis,1843,office holder
Albert_Sabin,,academic
Albert_Saijo,1926,author
Albert_Schatz_(scientist),,academic
Albert_Schram,1964,other
Albert_Sharpe_(American_football),1877,other
Albert_Shiryaev,,academic
Albert_Simmonds,1875,other
Albert_Siu,,academic
Albert_Smith_White,,other
Albert_Soboul,,author
Albert_Sommers,,office holder
Albert_Spaulding,1914,academic
Albert_Speer,,office holder
"Albert_Spradling,_Jr.",1920,office holder
Albert_Szent-Györgyi,,academic
Albert_T._Corbett,,academic
Albert_Tafel,1876,academic
"Albert_Tate,_Jr.",1920,other
Albert_Taylor_Bledsoe,1809,other
Albert_Toft,1862,other
Albert_Trueman,1902,other
Albert_Turner_Bharucha-Reid,1927,academic
Albert_W._Johnson,,other
Albert_W._Tucker,,academic
Albert_Walsh,,office holder
Albert_Watson_(South_Carolina),,office holder
Albert_Wattenberg,,academic
Albert_Wesley_Johnson,1923,other
Albert_Whiggs_Easmon,1865,author
Albert_Whitford,,academic
Albert_William_Herre,1868,academic
Albert_Wittmer,1897,other
Albert_Wohlstetter,1913,other
Albert_Wojciech_Adamkiewicz,1850,academic
Albert_Wynn,,other
Albert_Zafy,,office holder
Albert_de_Silva,,other
Albert_de_la_Chapelle,1933,academic
Albert_del_Rosario,1939,office holder
Albert_van_der_Sandt_Centlivres,1887,other
Alberta_Williams_King,1904,other
Albertin_Montoya,1975,other
"Albertis_S._Harrison,_Jr.",,office holder
Alberto_Alemanno,1975,academic
Alberto_Alesina,1957,other
Alberto_Bacó_Bagué,,office holder
Alberto_Barton,1870,academic
Alberto_Bressan,1956,academic
Alberto_Calderón,,academic
Alberto_Carrasquilla_Barrera,1959,office holder
Alberto_Clò,1947,office holder
Alberto_Conti,1966,academic
Alberto_Costa_(British_politician),1972,other
Alberto_Demicheli,,office holder
Alberto_Fabra,1964,other
Alberto_Fernández,,office holder
Alberto_Forchielli,1955,other
Alberto_Fujimori,,office holder
Alberto_Garzón,,office holder
Alberto_Gonzales,,office holder
Alberto_Ibargüen,1944,other
Alberto_Inocente_Álvarez,1905,office holder
Alberto_Jover_Piamonte,1934,other
Alberto_João_Jardim,,office holder
Alberto_Liñán,1990,athlete
Alberto_Madruga_da_Costa,1940,office holder
Alberto_María_Fonrouge,1913,office holder
Alberto_Mestre,1964,athlete
Alberto_Núñez_Feijóo,1961,office holder
Alberto_O._Mendelzon,1951,academic
Alberto_Prebisch,1899,office holder
Alberto_Reynoso,1940,athlete
Alberto_Rodrigues,1911,office holder
Alberto_Romulo,,other
Alberto_Rosende,1993,other
Alberto_Santofimio,,office holder
Alberto_Sileoni,1952,office holder
Alberto_Vallarino_Clement,1951,other
Alberto_van_Klaveren,1948,office holder
Albertus_John_Rooks,1869,other
Albertus_Klijn,,academic
Albie_Casiño,1993,other
Albie_Reisz,1917,athlete
Albie_Sachs,1935,other
Albin_Gurklis,1918,other
Albin_Kurti,,office holder
Albin_Owings_Kuhn,,office holder
Albin_W._Norblad,1939,other
Albina_du_Boisrouvray,1941,other
Albio_Sires,,other
Albion_A._Perry,1851,office holder
Albion_Parris,,office holder
Albion_Rajkumar_Banerjee,,office holder
Albion_W._Tourgée,1838,other
Albion_Woodbury_Small,,office holder
Albrecht_Behmel,1971,author
Albrecht_Dold,1928,academic
Albrecht_Fröhlich,,academic
Albrecht_Kossel,,academic
Albrecht_Penck,,academic
Albrecht_Schmidt_(computer_scientist),,academic
Albrecht_Schröter,,other
Albrecht_von_Graefe,,academic
Alby_Mathewson,1985,athlete
Alcardo_van_Graan,1986,athlete
Alcee_Hastings,,office holder
Alcide_De_Gasperi,,other
Alcino_J._Silva,1961,academic
Alcira_Argumedo,1940,other
Aldemaro_Romero_Jr.,1951,academic
Alden_Bradford,1765,office holder
Alden_C._Coder,1909,other
Alden_Ehrenreich,1989,other
Alden_H._Miller,,academic
Alden_Knipe,,other
Alden_Partridge,,other
Alden_Pasche,,other
Alden_W._Clausen,,office holder
Aldi_Henry,1972,athlete
Aldin_Ayo,1977,athlete
Aldo_Andreotti,1924,academic
Aldo_Bensadoun,1939,other
Aldo_Bumçi,1974,office holder
Aldo_Busi,1948,author
Aldo_Costa,1961,other
Aldo_Donelli,1907,athlete
Aldo_Ferrer,1927,office holder
Aldo_Miccio,1971,office holder
Aldo_Pontremoli,1896,academic
Aldo_Tambellini,1930,other
Aldo_Tatangelo,,other
Aldons_Vrubļevskis,1957,other
Aldous_Huxley,,author
Aldrech_Ramos,1988,athlete
Aldred_Scott_Warthin,1866,other
Ale_Ahmad_Suroor,,author
Alec_Baldwin,1958,other
Alec_Boswell_Timms,1872,athlete
"Alec_Broers,_Baron_Broers",,office holder
Alec_Erwin,1948,office holder
Alec_Garden_Fraser,1873,other
Alec_Gores,1953,other
Alec_Graham,1929,other
Alec_Jeffreys,,academic
Alec_Lazenby,1927,other
Alec_Marantz,1959,academic
Alec_Mazo,1978,other
Alec_Merrison,1924,other
Alec_Ross_(government_official),1971,other
Alec_Shelbrooke,1976,other
Alec_Skempton,,academic
Alec_Stone_Sweet,,academic
Alecia_Webb-Edgington,1966,office holder
Aleem_Said_Ahmad_Basher,1951,other
Aleen_Leslie,1908,author
Alejandra_Llaneza,1988,athlete
Alejandro_Atchugarry,1952,office holder
Alejandro_Bedoya,1987,athlete
Alejandro_Cañizares,1983,athlete
Alejandro_Chanona,1957,other
Alejandro_Covarrubias,1991,athlete
Alejandro_Cremades,1985,other
Alejandro_Daniel_Wolff,,other
Alejandro_García_Padilla,1971,office holder
Alejandro_Gaviria_Uribe,1966,office holder
Alejandro_Hernández_(director),1990,other
Alejandro_Jenkins,1979,academic
Alejandro_Korn,1860,other
Alejandro_Mayorkas,1959,office holder
Alejandro_Mendoza,,other
Alejandro_Monestier,1972,office holder
Alejandro_Poiré_Romero,1971,office holder
Alejandro_Ponce,1970,other
Alejandro_Rebollo_Álvarez-Amandi,1934,office holder
Alejandro_Salazar,,athlete
Alejandro_Santo_Domingo,1977,other
Alejandro_Toledo,,office holder
Alejandro_Vanoli,1961,office holder
Alejandro_Végh_Villegas,1928,office holder
Alejandro_Zaffaroni,,academic
Alejandro_Zambra,1975,author
Alejo_Avello,,academic
Alek_Skarlatos,1992,other
Aleka_Papariga,,other
Aleks_Krotoski,1974,other
Aleksandar_Alekov,1986,office holder
Aleksandar_Bošković,,academic
Aleksandar_Hemon,,author
Aleksandar_Karakachanov,1960,other
Aleksandar_Licht,1884,other
Aleksandar_Lilov,1933,office holder
Aleksandar_Popović_(politician),,office holder
Aleksandar_Radojević,,athlete
Aleksandar_Tsankov_Staliyski,1893,other
Aleksandar_Vučić,,office holder
Aleksander_Burba,1918,academic
Aleksander_Jabłoński,,academic
Aleksander_Kwaśniewski,,office holder
Aleksander_Rajchman,1890,academic
Aleksander_Szczygło,,office holder
Aleksander_Warma,1890,other
Aleksander_Wolszczan,,academic
Aleksandr_Arbuzov,1877,academic
Aleksandr_Chudakov,1921,academic
Aleksandr_Danilovich_Aleksandrov,,academic
Aleksandr_Galushka,,office holder
Aleksandr_Khinchin,,academic
Aleksandr_Korkin,,academic
Aleksandr_Loran,1849,other
Aleksandr_Lyapunov,,academic
Aleksandr_Markevich,1905,academic
Aleksandr_Nekrasov,,academic
Aleksandr_Solzhenitsyn,,author
Aleksandr_Stoletov,,academic
Aleksandr_Vasiljevich_Fomin,1869,academic
Aleksandr_Zolotarev,,other
Aleksandra_Smiljanić,1970,office holder
Aleksandrs_Mirskis,1964,office holder
Aleksei_Chaly,,other
Aleksei_Chichibabin,,academic
Aleksei_Fedorovich_Filippov,1923,academic
Aleksey_Lidov,1959,academic
Aleksey_Pleshcheyev,,author
Aleksey_Shakhmatov,1864,other
Alemayehu_Atomsa,1969,office holder
Alen_Kozić,1976,athlete
Alen_simonyan,1980,other
Alena_Sharp,1981,athlete
Alenka_Bratušek,1970,office holder
Alenka_Gerlovič,1919,other
Ales_Michalevic,1975,other
Alessandra_Kersevan,1950,academic
Alessandra_Moretti,,office holder
Alessandro_Bianchi_(politician),,other
Alessandro_Faedo,1913,academic
Alessandro_Gadotti,1969,other
Alessandro_Liberati,1954,other
Alessandro_Malladra,1865,academic
Alessandro_Minelli,1948,academic
Alessandro_Nivola,1972,other
Alessandro_Pavolini,,office holder
Alessandro_Raho,1971,other
Alessandro_Salvatore,1987,athlete
Alessia_Mosca,1975,office holder
Alessio_Corti,1965,academic
Aleta_Arthur_Trauger,1945,office holder
Alewyn_Burger,1951,other
Alex_Adams,1935,other
Alex_Aggelakos,1994,athlete
Alex_Allan,1951,office holder
Alex_Allan_(rugby_union),0029,athlete
Alex_Anmahian,1959,other
Alex_Anthopoulos,1977,other
Alex_Aragon,1979,athlete
Alex_Arrowsmith,,other
Alex_Attwood,,office holder
Alex_Atty,1916,athlete
Alex_Au,1952,other
Alex_B._Morse,1989,other
Alex_B._Novikoff,1913,academic
Alex_Bailin,1969,other
Alex_Bateman,,academic
Alex_Beam,1954,author
Alex_Beard,1970,other
Alex_Beard_(arts_manager),1963,other
Alex_Bengard,1979,athlete
Alex_Berenson,1973,author
Alex_Blanco,1972,office holder
Alex_Borstein,1973,other
Alex_Brooker,1984,other
Alex_Cabagnot,1982,athlete
Alex_Caceres_(footballer),1987,athlete
Alex_Campbell_(politician),,office holder
"Alex_Carlile,_Baron_Carlile_of_Berriew",,other
Alex_Cartana,1983,other
Alex_Chalk,,other
Alex_Collins_(American_football),1994,athlete
Alex_Colville,,other
Alex_Cooper,1936,other
Alex_Corbisiero,1988,athlete
Alex_Cord,1933,other
Alex_Cormack,1982,author
