Title,Birthyear,Occupational_group
Andy_Jackson_(tennis),1961,athlete
Andy_Jefferd,1953,athlete
Andy_Johnson_(American_football),1952,athlete
Andy_Katz,1969,athlete
Andy_Kennedy_(basketball),,athlete
Andy_Lambert,,athlete
Andy_Landers,,athlete
Andy_Lopez,1953,athlete
Andy_Lorei,1989,athlete
Andy_Ludwig,1964,athlete
Andy_MacDonald_(American_football),1930,athlete
Andy_Miller_(golfer),1978,athlete
Andy_Mooradian,,athlete
Andy_Moore_(American_football),1902,athlete
Andy_Mullins_(rugby_union),1964,athlete
Andy_Murray_(ice_hockey),,athlete
Andy_Natowich,1918,athlete
Andy_Oberlander,,athlete
Andy_Panko,,athlete
Andy_Pilney,1913,athlete
Andy_Pope,,athlete
Andy_Powell_(rugby),1981,athlete
Andy_Reay,1983,athlete
Andy_Rosenband,1981,athlete
Andy_Russo,1948,athlete
Andy_Saull,1988,athlete
Andy_Short,1991,athlete
Andy_Smith_(American_football),,athlete
Andy_Strouse,1970,athlete
Andy_Talley,1943,athlete
Andy_Titterrell,,athlete
Andy_Vilk,,athlete
Andy_White_(American_football),,athlete
Andy_Williams_(American_football),,athlete
Andy_Williams_(Jamaican_footballer),,athlete
Andy_Willock,1964,athlete
Andy_Wyant,1867,athlete
Ane_Stangeland_Horpestad,1980,athlete
Aneika_Henry,,athlete
Aneurin_Rees,1858,athlete
Angel_Rahov,1986,athlete
Angela_James,1964,athlete
Angela_Lawson,,athlete
Angela_Salem,1987,athlete
Angela_Stanford,1977,athlete
Angela_Sun,1982,athlete
Angeline_Impelido,,athlete
Angelo_Cruz,1958,athlete
Angelo_Luzzani,1896,athlete
Angelo_Mosca,,athlete
Angelo_Panzetta,1967,athlete
Angelo_Paternoster,1919,athlete
Angelo_Reyes_(basketball),1981,athlete
Angie_Bjorklund,,athlete
Angus_Cottrell,1989,athlete
Angus_Reid,1976,athlete
Angus_Roberts,1990,athlete
Anisa_Guajardo,1991,athlete
Anita_Howard,1969,athlete
Anjo_Caram,1991,athlete
Ankita_Tiwana,,athlete
Ann_Liguori,,athlete
Anna_Rawson,,athlete
Annalise_Pickrel,,athlete
Anne_Quast,1937,athlete
Anne_Sargeant,1957,athlete
Annette_Watts,1959,athlete
Annika_Sörenstam,,athlete
Anon_San-Mhard,,athlete
Anon_Sangsanoi,,athlete
Anquell_McCollum,1973,athlete
Anson_Dorrance,,athlete
Anson_Harrold,1870,athlete
Ant_Strachan,,athlete
Antanas_Kavaliauskas,,athlete
Ante_Jazić,,athlete
Anthonie_Gronum,1985,athlete
Anthony_Alix,1986,athlete
Anthony_Allison,1987,athlete
Anthony_Augustine,1980,athlete
Anthony_Bell,1964,athlete
Anthony_Blue,1964,athlete
Anthony_Boric,,athlete
Anthony_Bowie,,athlete
Anthony_Bozzella,,athlete
Anthony_Campanile,1982,athlete
Anthony_Carter,,athlete
Anthony_Chez,1872,athlete
Anthony_Cottrell_(rugby_union),,athlete
"Anthony_Davis_(running_back,_born_1982)",1982,athlete
Anthony_DiMarzo,,athlete
Anthony_Di_Biase,1988,athlete
Anthony_Evans_(basketball),1970,athlete
Anthony_Fainga'a,1987,athlete
Anthony_Fernandez,1982,athlete
Anthony_Foley,,athlete
Anthony_Frederick,,athlete
Anthony_Goldwire,,athlete
Anthony_Grant,,athlete
Anthony_Grant_(Jamaican_footballer),1989,athlete
Anthony_Hamilton_(soccer),1985,athlete
Anthony_Henniker-Gotley,1887,athlete
Anthony_Jennings,1994,athlete
Anthony_Johnson_(basketball),,athlete
Anthony_Jones_(American_football),1960,athlete
Anthony_Kang,1972,athlete
Anthony_Kelly_(lacrosse),1980,athlete
Anthony_Kim,1985,athlete
Anthony_Latina,1973,athlete
Anthony_Lee-Ingram,,athlete
Anthony_Maher_(soccer),1979,athlete
"Anthony_Myles_(basketball,_born_1982)",,athlete
Anthony_O'Garro,1987,athlete
Anthony_Perenise,1982,athlete
Anthony_Peters,1983,athlete
Anthony_Poindexter,1976,athlete
Anthony_Purpura,1986,athlete
Anthony_Reddick,1985,athlete
Anthony_Sagnella,1964,athlete
Anthony_Savage,1893,athlete
Anthony_Semerad,1991,athlete
Anthony_Shavies,1983,athlete
Anthony_Vázquez,1988,athlete
Anthony_Watson_(rugby_union),1994,athlete
Anthony_Wilkerson,1992,athlete
Anthony_Zuzzio,1916,athlete
Antoine_Caldwell,1986,athlete
Antoine_Joseph,1989,athlete
Anton_Oliver,1975,athlete
Anton_Peterlin_(soccer),1987,athlete
Anton_del_Rosario,1981,athlete
Anton_van_Zyl,,athlete
Antonio_Bass,1987,athlete
Antonio_Bua,1990,athlete
"Antonio_Burks_(basketball,_born_1980)",,athlete
Antonio_Genato,1929,athlete
Antonio_Granger,1976,athlete
